id,created_at,updated_at,serialNo,batch,vesselName,loadPort,vesselSailingDate,blDate,quantity,netBl,tmVariationQty,baseUnitOfMeasure,plant,dischargePort,customerName,vessArrivalDt,norTenderedDate,norAcceptedDate,dischargeCommensementDate,dischargeCompletionDate,daysTaken,demurrageRate,arrivalPort,arrPortDesc,expectedArrivalDat,loadPortName,customsOutOfCharg,fullDetailOcc,edrmPermissionLett,materialCode,dischargeRate,settleUnsettle,settleUnsettleStatus,layDateToStart,laytimeToCompleteAsPerAgreedDiscR,tentativeLaytimeCalculationTime,tentatvLaytimeRate,qtyHeader,countryId,countryName,uniqueVesselId,customerNo,compositeKey,vesselArrivelTime,time,startTime,dischargeCommensementTime,dischargeCompletionTime,norAcceptedTime,norTenderedTime,layTimeToStart,endTime,actualLaytime,berthingTime,deductionPeriod
8bf377e6-08bf-45cc-9866-685ae01d16ad,51:29.0,34:36.9,1,I201920269,MV ROLAND OLDENDORFF,0,00:00.0,00:00.0,45520,45520,0,MTS,5234,AEL-HAZIRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,4,18000,,,00:00.0,,,,,S20010105,0,,,00:00.0,0,-1.45,-26100,45520,,,1000004126,113025,1|I201920269|1000004126,12:00:00,00:30:00,00:00:00,01:48:00,12:30:00,00:00:00,12:00:00,01:48:00,00:00:00,00:00:00,00:00:00,00:00:00
cf4902a4-f9b3-43b2-a96d-688d22367410,51:29.0,34:36.9,1,I202324197,MV NORTH ISLAND,4,00:00.0,00:00.0,25000,25000,0,MTS,5228,AEL-DHARAMTAR-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,3,12250,5228,AEL-DHARAMTAR-EXBOND,00:00.0,SAMARINDA ANCHORAGE,,,,S20010105,8000,1,Settled,00:00.0,3.13,0.27,1623.13,25000,ID,INDONESIA,1000006294,113025,1|I202324197|1000006294,07:00:00,04:00:00,00:00:00,21:00:00,19:00:00,00:00:00,15:00:00,21:00:00,00:00:00,00:00:00,00:00:00,01:30:00
52b38790-355b-4cd9-98dd-68977d7a095c,51:29.0,34:36.9,1,I202122136,MV VIDYUT,4,00:00.0,00:00.0,60641,60641,0,MTS,5201,AEL-MUNDRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,2,20000,5201,AEL-MUNDRA-EXBOND,00:00.0,SAMARINDA ANCHORAGE,,,,S20010105,0,,,00:00.0,0,-0.59,-11800,60641,ID,INDONESIA,1000004821,113025,1|I202122136|1000004821,09:30:00,22:30:00,00:00:00,20:45:00,08:00:00,00:00:00,09:30:00,20:45:00,00:00:00,00:00:00,00:00:00,21:00:00
a5abfa4d-fa8d-41f1-a9b5-68a6766bb53b,35:21.0,35:42.8,3,H202425106,MV PRODIGY,0,,00:00.0,12000,12000,0,MTS,5203,AEL-DAHEJ-EXBOND,GRASIM INDUSTRIES LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,4,11000,5203,AEL-DAHEJ-EXBOND,00:00.0,,,,,S20010105,15000,,,00:00.0,4.83,0.94,5150.75,72397,,,1000007460,114341,3|H202425106|1000007460,18:00:00,02:35:00,00:00:00,13:10:00,10:30:00,00:00:00,07:55:00,10:20:00,00:00:00,00:00:00,00:00:00,02:50:00
6e5dd7ff-a449-4e3c-ab4a-68c6cdf56c7f,51:29.0,34:36.9,2,I202223174,MV GENCO HADRIAN,6,00:00.0,00:00.0,31543,0,0,MTS,5203,AEL-DAHEJ-EXBOND,NTPC LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,6,20500,5203,AEL-DAHEJ-EXBOND,00:00.0,"MUARA PANTAI ANCHORAGE, BERAU REGENCY",,,,S20010105,30000,1,Settled,00:00.0,2.38,-0.14,-2771.6,71543,ID,INDONESIA,1000005483,17117,2|I202223174|1000005483,05:18:00,22:42:00,00:00:00,15:35:00,04:00:00,00:00:00,05:18:00,15:35:00,00:00:00,00:00:00,00:00:00,00:00:00
23bf3880-545c-43fa-a406-68d3c93fe3f9,51:29.0,34:36.9,1,S202324028,MV AKIJ PEARL,5230,00:00.0,00:00.0,54600,54600,0,MTS,5237,AEL-TUNA-EXBOND,ARAVALI POWER COMPANY PVT LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,11,19500,5237,AEL-TUNA-EXBOND,00:00.0,,,,,S20010113,25000,,,,2.18,-738698.2,-14404614822,54600,,,1000006166,113298,1|S202324028|1000006166,11:48:00,21:12:00,00:00:00,22:00:00,09:00:00,00:00:00,11:48:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
bc392bd5-2ad1-4b08-9b9d-68e533d19742,51:29.0,34:36.9,1,I202223113,MV ANGLO RED,44,00:00.0,00:00.0,40800,40800,0,MTS,5230,AEL-DHAMRA-EXBOND,NABINAGAR POWER GERERATING COMPANY,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,2,31500,5230,AEL-DHAMRA-EXBOND,00:00.0,TANJUNG KAMPEH,,,,S20010105,35000,1,Settled,00:00.0,1.17,0.26,4027.28,40800,ID,INDONESIA,1000005394,17681,1|I202223113|1000005394,04:00:00,17:30:00,00:00:00,23:40:00,21:30:00,00:00:00,04:00:00,23:40:00,00:00:00,00:00:00,00:00:00,00:00:00
92fae26a-ad98-4dc7-aa01-6904d5148c73,51:29.0,34:36.9,2,H202122062,MV AQUABRIDGE,0,00:00.0,00:00.0,54800,54800,0,MTS,5224,AEL-GANGAVARAM-EXBOND,SHRI BAJRANG POWER AND ISPAT LTD,00:00.0,00:00.0,,00:00.0,00:00.0,2,0,5224,AEL-GANGAVARAM-EXBOND,00:00.0,,,,,S20010109,0,,,,0,-738248.56,0,99970,,,1000006022,109063,2|H202122062|1000006022,17:15:00,20:45:00,00:00:00,22:00:00,14:00:00,00:00:00,17:15:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
dc4ccd31-e2fb-4f83-ab1d-690c669f6d5d,51:29.0,34:36.9,1,I202223077,MV PASCHALIS D,23,00:00.0,00:00.0,38284,38284,0,MTS,5201,AEL-MUNDRA-EXBOND,THE EXECUTIVE ENGINEER O&M FUEL,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,8,24000,5201,AEL-MUNDRA-EXBOND,00:00.0,"TARAKAN A,INDONESIA",,,,S20010105,0,1,Settled,00:00.0,0,-1.19,-28560,78284,ID,INDONESIA,1000005270,17919,1|I202223077|1000005270,04:45:00,21:15:00,00:00:00,21:30:00,02:00:00,00:00:00,04:45:00,21:30:00,00:00:00,00:00:00,00:00:00,00:00:00
250a7682-26fb-4787-9869-691258fd71e0,51:29.0,34:36.9,1,I202324075,MV LINDA HOPE,34,00:00.0,00:00.0,105000,0,0,MTS,5237,AEL-TUNA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,23,22500,5237,AEL-TUNA-EXBOND,00:00.0,BUNATI ANCH,,,,S20010105,30000,2,Unsettled,00:00.0,3.5,-18.96,-426600,105000,ID,INDONESIA,1000006114,113025,1|I202324075|1000006114,15:40:00,15:50:00,00:00:00,20:30:00,07:30:00,00:00:00,15:40:00,20:30:00,00:00:00,00:00:00,00:00:00,00:00:00
