parcelNo,vesselPositionStatus,expectedArrivalDateAtLoadPort,arrivedDateAtLoadPort,expectedArrivalDateAtDischargePort,arrivedDateAtDischargePort,blDate,blQuantity,customerGroup,vendor,parcelType,vesselName,loadPortName,dischargePortName,vesselNo,vesselType,supplierDemurrageRate,cOO,mineName,productName,supplierGroup,originWiseGrade,mineWiseGrade,grade,monthName
P1542122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71400,SEB,NTPC,Parcel B,MV TRUE CHAMPION,Tarakan Anch,Gangavaram,351-21-22,Cape,18000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,Mar-22
P12712324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30000,SEB,NTPC,Parcel B,MV AKAKI,Tarahan,Haldia,387-23-24,Panamax,17500,Indonesia,PT BA,INDO 4800 GAR,Trader,INDO 4800,BA 4800,BA 4800,Nov-23
P3642223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,59150,Stock and Sales,,Parcel A,MV CAPTAIN DIMITRIS,Muara Pantai,Hazira,112-22-23,Supramax,45000,Indonesia,ATM,INDO 3800 GAR,Miner / Refiner,INDO 3800,AT 3800,ATM 3800,Jun-22
P11492324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,164406,APL,APL,Parcel A,MV NAVIOS STELLAR,Abbot Point,Gangavaram,056-23-24,Cape,18000,AUS,AS per Remarks,AUS 3000 - 5500 GAR,Trader,AUS 5500,,,May-23
P12052324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,35000,Stock and Sales,AEL,Parcel C,MV CAPE MAGNOLIA,Muara Berau Anchorage,Navlakhi,319-23-24,Cape,23500,Indonesia,BISM,INDO 3200 GAR,Miner / Refiner,INDO 3200,BI 3200,BISM 3200,Oct-23
P16792425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,37996,Stock and Sales,AEL,Parcel B,MV MARAN VICTORY,RBCT,Dhamra,628-23-24,Cape,36000,SA,SA Glencore,SA 4600 Min,Miner / Refiner,SA 4600,GI 4600,GIAG 4600,Mar-24
P11812324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72170,Stock and Sales,AEL,Parcel A,MV SEMIRAMIS,Asam-asam anch./Kintap anch./NPLCT,Karaikal,376-23-24,Panamax,18500,Indonesia,Arutmin,INDO 4200 GAR,Miner / Refiner,INDO 4200,EC 4200,ECOCOAL 4200,Nov-23
P21332425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,65000,TC - Direct Customer,YUEHE,Parcel A,MV NENG YUAN,Tarakan Anch,China,361-24-25,Panamax,17500,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,Oct-24
P20962425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,23200,APL,APL,Parcel B,MV C VISION,Bunati Anchorage,Dahej,380-23-24,Cape,25000,Indonesia,BIB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BI 4200,BIB 4200,Dec-23
P18352425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,54800,Stock and Sales,AEL,Parcel A,MV VISHVA MALHAR,Meulaboh,Navlakhi,200-24-25,Supramax,19000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Jul-24
P2682223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,163200,APL,APL,Parcel A,MV GH KAHLO,TBCT,Mundra,026-22-23,Cape,21500,Indonesia,Melawan Mine,INDO 4500 GAR,Miner / Refiner,INDO 4500,KP 4500,KPC 4500,Apr-22
P4192223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,Stock and Sales,AEL,Parcel B,MV GOLDEN ANASTASIA,Tj Pemachingam,Hazira,101-22-23,Cape,40000,Indonesia,Jhonlin,INDO 3800 GAR,Miner / Refiner,INDO 3800,JH 3800,JHONLIN 3800,Jun-22
P12952425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV MARAN VENTURE,TBCT,Mundra,341-23-24,Cape,23000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Nov-23
P18962425,Completed At DP,,,00:00.0,00:00.0,00:00.0,51953.8,Stock and Sales,ACC,Parcel A,MV VAN JAGUAR,Any Port in USA,Gangavaram,176-24-25,Supramax,31000,USA,AS per Remarks,USA Petcoke 7200-7600 NAR,Miner / Refiner,USA 7600,,,Jul-24
P18572425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75681,APL,APL,Parcel B,MV OJAS,Bunyu Anchorage,Mundra,143-24-25,Cape,26000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Jun-24
P22062425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,33000,Stock and Sales,AEL,Parcel B,MV RG ATHENA,Tj Kampeh,Haldia,382-24-25,Panamax,19000,Indonesia,GPE,INDO 4100 GAR,Trader,INDO 4100,GP 4100,GPE 4100,Oct-24
P1612122,Arrived at DP,00:00.0,00:00.0,00:00.0,,00:00.0,161950,SEB,NTPC,Parcel A,MV LAKE DESPINA,Taboneo Anchorage,Dhamra,367-21-22,Cape,13000,Indonesia,Adaro,INDO 4700 GAR,Miner / Refiner,INDO 4700,AD 4700,ADARO 4700,Mar-22
P6082223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,27000,SEB,GEB,Parcel C,MV GH KAHLO,Muara Pantai,Bedi,274-22-23,Cape,21000,Indonesia,Berau,INDO 5100 GAR,Trader,INDO 5100,BE 5100,BERAU 5100,Oct-22
P20452425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,Stock and Sales,AEL,Parcel A,MV PORT EVERGLADES,Meulaboh,Hazira,333-24-25,Supramax,17500,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Sep-24
P11112324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,81689,SEB,NTPC,Parcel B,MV GOLDEN ZHOUSHAN,Muara Pantai,Mundra,288-23-24,Cape,18000,Indonesia,Berau,INDO 4800 GAR,Miner / Refiner,INDO 4800,BE 4800,BERAU 4800,Oct-23
P9422324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75000,SEB,NTPC,Parcel A,MV CAPE ASTER,Tarakan Anch,Krishnapatnam,060-23-24,Cape,17000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,May-23
P19282425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75682,APL,APL,Parcel B,MV CAPE MAGNOLIA,Kaliorang Anch,Mundra,271-24-25,Cape,25500,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Aug-24
P3312223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,SEB,NTPC,Parcel A,MV IMPERIAL MWK,Taboneo Anchorage,Mundra,068-22-23,Cape,32500,Indonesia,Adaro,INDO 4700 GAR,Miner / Refiner,INDO 4700,AD 4700,ADARO 4700,May-22
P6372223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,Stock and Sales,AEL,Parcel A,MV PANTAGRUEL,Tarakan Anch,Mundra,278-22-23,Cape,17000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,Nov-22
P19522425,Completed At DP,,,00:00.0,00:00.0,00:00.0,71500,TC - Direct Customer,ZTG,Parcel A,MV CHANG YANG JIN SHA,Tj Kampeh,China,121-24-25,Panamax,18000,Indonesia,Duta Bara Utama (DBU),INDO 4200 GAR,Trader,INDO 4200,DB 4200,DBU 4200,May-24
P13882425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,45495,Stock and Sales,AEL,Parcel A,MV STARDUST,Muara Banyuasin,Gangavaram,122-24-25,Panamax,22750,Indonesia,MIP Sumatra,INDO 4100 GAR,Trader,INDO 4100,MI 4100,MIP 4100,May-24
P18422425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,Stock and Sales,AEL,Parcel A,MV BELFORTE,Meulaboh,Navlakhi,210-24-25,Supramax,18000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Aug-24
P18332425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV VIDYUT,TBCT,Mundra,188-24-25,Cape,30000,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Jul-24
P24452425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74345,Stock and Sales,AEL,Parcel A,MV SAN GEORGE,Kaliorang Anch,Dahej,476-24-25,Panamax,13207,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Dec-24
P2252223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,Stock and Sales,AEL,Parcel A,MV C VISION,Muara Pantai,Mundra,378-21-22,Cape,16000,Indonesia,Berau,INDO 5100 GAR,Miner / Refiner,INDO 5100,BE 5100,BERAU 5100,22-Mar
P18952425,Completed At DP,,,00:00.0,00:00.0,00:00.0,54549.31,Stock and Sales,ACC,Parcel A,MV CHANG HONG AN,LP in USA/SAUDI at Seller's Option,Mundra,206-24-25,Supramax,15000,USA or Saudi - P,AS per Remarks,USA/SAUDI P.C.,Miner / Refiner,USA ,AR ,ARAMCO ,Jul-24
P1822122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,25000,Stock and Sales,AEL,Parcel B,MV GOLDEN MAGNUM,RBCT,Gangavaram,284-21-22,Cape,42000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Dec-21
