parcelNo,vesselPositionStatus,expectedArrivalDateAtLoadPort,arrivedDateAtLoadPort,expectedArrivalDateAtDischargePort,arrivedDateAtDischargePort,blDate,blQuantity,customerGroup,vendor,parcelType,vesselName,loadPortName,dischargePortName,vesselNo,vesselType,supplierDemurrageRate,cOO,mineName,productName,supplierGroup,originWiseGrade,mineWiseGrade,grade,monthName
P12232324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76415,Stock and Sales,AEL,Parcel A,MV FJ FRESIA,Muara Berau Anchorage,Mundra,456-23-24,Panamax,20500,Indonesia,BSSR,INDO 4000 GAR,Miner / Refiner,INDO 4000,BS 4000,BSSR 4000,Dec-23
P19792425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,83800,APL,APL,Parcel B,MV NAVIOS LUZ,TBCT,Mundra,292-24-25,Cape,27500,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Sep-24
P21492425,Completed At DP,,,00:00.0,00:00.0,00:00.0,73500,Stock and Sales,COASTAL ENERGEN,Parcel A,MV KARUNIA GEMILANG II,Taboneo Anchorage,Tuticorin,564-23-24,Panamax,16000,Indonesia,BMB,INDO 4200 GAR,Trader,INDO 4200,BM 4200,BMB 4200,Feb-24
P2312223,Arrived at DP,00:00.0,00:00.0,,,00:00.0,35000,SEB,NTPC,Parcel D,MV MONTECRISTO,Tj Kampeh,Mundra,375-21-22,Cape,16000,Indonesia,MME,INDO 4700 GAR,Miner / Refiner,INDO 4700,MM 4700,MME 4700,22-Mar
P11822324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74900,APL,UDUPI POWER,Parcel A,MV ALPHA HERO,Satui Anchorage,New Mangalore,384-23-24,Panamax,18000,Indonesia,Arutmin,INDO 5000 GAR,Trader,INDO 5000,AR 5000,ARUTMIN 5000,Nov-23
P22142425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,87243,Stock and Sales,AEL,Parcel A,MV KMAX VISION,Richards Bay MPT / DBT,Krishnapatnam,397-24-25,Panamax,,SA,AS per Remarks,SA 5200 Min,Trader,SA 5200,,,Nov-24
P17022425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,88533,Stock and Sales,AEL,Parcel B,MV SEMIRIO,RBCT,Krishnapatnam,033-23-24,Cape,21000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Apr-23
P24832425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,83900,APL,APL,Parcel B,MV VIDYUT,TBCT,Mundra,506-24-25,Cape,,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Jan-25
P19542425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60424,Stock and Sales,AEL,Parcel A,MV BBG CHONGZUO,Meulaboh,Navlakhi,285-24-25,Supramax,20000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Sep-24
P11162324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71111,APL,APL,Parcel A,MV STAR EMILY,TBCT,New Mangalore,283-23-24,Panamax,16500,Indonesia,Melawan Mine,INDO 5000 GAR,Miner / Refiner,INDO 5000,KP 5000,KPC 5000,Sep-23
P0492122,Arrived at DP,00:00.0,00:00.0,00:00.0,,00:00.0,126888,Stock and Sales,AEL,Parcel A,MV CAPE NATALIE,CNX / CMT Baltimore,Tuna,219-21-22,Cape,62000,USA,USA Bailey/Enlow Fork/Harvey,US 6900 NAR,Miner / Refiner,USA 6900,CO 6900,CONSOL 6900,Oct-21
P12622324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,Stock and Sales,AEL,Parcel A,MV SKYTHIA,Abbot Point,Krishnapatnam,355-23-24,Cape,28500,AUS,JFE AUS,AUS 5300 NAR,Miner / Refiner,AUS 5300,JF 5300,JFE 5300,Nov-23
P2072122,Arrived at DP,00:00.0,00:00.0,00:00.0,,00:00.0,67701,Stock and Sales,AEL,Parcel B,MV GOLDEN ZHOUSHAN,RBCT,Dhamra,355-21-22,Cape,18000,SA,AS per Remarks,SA 5200 Min,Trader,SA 5200,,,Mar-22
P0462122,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,55700,Stock and Sales,AEL,Parcel A,MV OCEAN GRACE,Peunaga Anch,Hazira,216-21-22,Ultramax,37000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Oct-21
P2142223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,41800,TC - Direct Customer,LUGIA,Parcel A,MV VIET THUAN STAR,Bunyu Anchorage,Vietnam,377-21-22,Supramax,10000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,22-Mar
P12652324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74060,APL,UDUPI POWER,Parcel A,MV SENTOSA CHALLENGER,BOCT or Maura Berau Anchorage (Samarinda),Any Port India,359-23-24,Panamax,17500,Indonesia,PT Bharinto Ekatama,INDO 5800 GAR,Trader,INDO 5800,BA 5800,BANPU 5800,Nov-23
P17102425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,50000,Stock and Sales,AEL,Parcel B,MV MINERAL FAITH,RBCT,Goa,043-23-24,Cape,23000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Apr-23
P24952425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,78788,SEB,NTPC,Parcel A,MV ASL MOON,TBCT,Gangavaram,507-24-25,Panamax,,Indonesia,Melawan Mine,INDO 4200 NAR,Miner / Refiner,INDO 4200,KP 4200,KPC 4200,Jan-25
P5512223,Arrived at DP,00:00.0,00:00.0,00:00.0,,00:00.0,60819,Stock and Sales,AEL,Parcel A,MV IMPERIAL FRONTIER,RBCT,Gangavaram,161-22-23,Cape,35000,SA,SA  Seriti (S32),SA 4500 Min,Trader,SA 4500,S3 4500,S32 4500,Jun-22
P13232425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,34544,Stock and Sales,AEL,Parcel A,MV ADMIRAL JIMMU,"GML Maputo, Mozambique",Krishnapatnam,058-24-25,Panamax,25000,SA,AS per Remarks,SA 5700 Min,Trader,SA 5700,,,May-24
P6642223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,32500,Stock and Sales,AEL,Parcel A,MV ZAMPA BLUE,"Nacala Port, Mozambique",Krishnapatnam,287-22-23,Cape,20500,Mozambique,AS per Remarks,Moatize 5850 NAR,Trader,MZBQ 5850,,,Oct-22
P10492324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,165000,TC - Direct Customer,KAILUAN,Parcel A,MV QUORN,Abbot Point,China,199-23-24,Cape,17000,AUS - CM,BRAVUS - Carmichael,3000 - 5500 GAR,Miner / Refiner,AUS 5500,CM 5500,BRAVUS-CARMICHAEL 5500,Aug-23
P0632122,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,75615,Stock and Sales,AEL,Parcel A,MV PANAMANIAN,Muara Berau Anchorage,Hazira,239-21-22,Panamax,41500,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,21-Oct
P22392425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,70277,APL,APL,Parcel A,MV ATMOSPHERE,BOCT or Maura Berau Anchorage (Samarinda),New Mangalore,403-24-25,Panamax,16113,Indonesia,PT Bharinto Ekatama,INDO 5500 GAR,Miner / Refiner,INDO 5500,BA 5500,BANPU 5500,Nov-24
P7522223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77000,SEB,NTPC,Parcel B,MV ORIENT VESTA,Muara Berau Anchorage,Mundra,340-22-23,Cape,14518,Indonesia,Alam Jaya,INDO 4700 GAR,Trader,INDO 4700,AJ 4700,AJ 4700,22-Dec
P26892526,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,163175,APL,APL,Parcel A,MV CARDINAL VICTORY,Taboneo Anchorage,Mundra,046-25-26,Cape,21000,Indonesia,Adaro,INDO 4100 GAR,Trader,INDO 4100,AD 4100,ADARO 4100,Apr-25
P6752223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,78950,Stock and Sales,RAMCO,Parcel A,MV STAR DIAMOND,Muara Sangkulirang,Karaikal,307-22-23,Post Panamax,22250,Indonesia,GAM,INDO 3400 GAR,Trader,INDO 3400,GA 3400,GAM 3400,Oct-22
P14982425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72125,Stock and Sales,COASTAL ENERGEN,Parcel A,MV ODYSSEUS N,Taboneo Anchorage,Tuticorin,141-24-25,Panamax,21119,Indonesia,BMB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BM 4200,BMB 4200,Jun-24
P20012425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80250,Stock and Sales,AEL,Parcel B,MV MIDNIGHT DREAM,Taboneo Anchorage,Mundra,245-23-24,Cape,23500,Indonesia,Adaro,INDO 4100 GAR,Trader,INDO 4100,AD 4100,ADARO 4100,Sep-23
P12812324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71133,Stock and Sales,AEL,Parcel A,MV GUO YUAN 10,Kaliorang Anch,Dahej,401-23-24,Panamax,15825,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Nov-23
P17882425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,50000,SEB,NTPC,Parcel A,MV CAPE PROTEUS,Muara Pantai,Mundra,039-23-24,Cape,15500,Indonesia,Berau,INDO 4800 GAR,Trader,INDO 4800,BE 4800,BERAU 4800,Apr-23
P18722425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71936,Stock and Sales,AEL,Parcel A,MV XIN QI HANG 1,Tj Kampeh,Krishnapatnam,218-24-25,Panamax,19500,Indonesia,PT  Baturona Adimulya,INDO 3400 GAR,Miner / Refiner,INDO 3400,BA 3400,BATURONA 3400,Jul-24
P18862425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80533,Stock and Sales,AEL,Parcel D,MV AN LI,RBCT,Gangavaram,205-24-25,Cape,29500,SA,SA Anglo,SA 5200 Min,Miner / Refiner,SA 5200,AN 5200,ANGLO 5200,Aug-24
P24912425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71500,SEB,MAHA GENCO,Parcel A,MV BBG DREAM,Taboneo Anchorage,Gangavaram,526-24-25,Panamax,12000,Indonesia,MME (MEGA MULTI ENERGI),INDO 4500 GAR,Miner / Refiner,INDO 4500,MM 4500,MME 4500,Jan-25
P10342324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,Stock and Sales,AEL,Parcel A,MV GREAT LINK,Meulaboh,Any Port India,173-23-24,Supramax,11500,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Jul-23
P9292324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,47272,Stock and Sales,AEL,Parcel A,MV SOUTHERN HARMONY,Muara Berau Anchorage,Mundra,019-23-24,Cape,23800,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,Apr-23
P3442223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,NTPC,Parcel B,MV PASCHALIS D,Tarakan Anch,Goa,077-22-23,Cape,32500,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,22-May
P25782425,Completed At DP,00:00.0,00:00.0,,,00:00.0,77309,Stock and Sales,AEL,Parcel A,MV RANGER,"CSX, Baltimore",Krishnapatnam,558-24-25,Panamax,,USA,AS per Remarks,NAPP 6650 NAR Min,Trader,USA 6650,NA 6650,NAPP 6650,Jan-25
P18412425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,43570,Stock and Sales,,Parcel A,MV SAKIZAYA ACE,Muara Berau / Muara Jawa,Gangavaram,208-24-25,Panamax,19250,Indonesia,KBB,INDO 3400 GAR,Trader,INDO 3400,KB 3400,KBB 3400,Aug-24
P14162425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,14100,SEB 2,NTPC 2,Parcel B,MV JIAN FA,Tarahan,Gangavaram,452-23-24,Cape,27000,Indonesia,PT BA,INDO 5000 GAR,Miner / Refiner,INDO 5000,BA 5000,BA 5000,Jan-24
P23982425,Completed At DP,,,00:00.0,00:00.0,00:00.0,54999.316,Stock and Sales,ACC,Parcel A,MV PAN RIDE,"Jubail, KSA",Gangavaram,485-22-23,Supramax,,Saudi Arabia,Jubail or Yanbu refinery (PetCoke),Saudi Petcoke 7200-7700 NAR,Trader,SAUDI 7700,JU 7700,JUBAIL 7700,Mar-23
P8702324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,63000,Stock and Sales,NTPC,Parcel A,MV NAVIOS VICTORY,,Krishnapatnam,431-22-23,Panamax,14500,,,,,,,,Feb-23
P24632425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,42915,Stock and Sales,AEL,Parcel B,MV STAR NADZIYE,Bunyu Anchorage,Gangavaram,469-24-25,Panamax,,Indonesia,Saka Putra (SPP),INDO 3000 GAR,Trader,INDO 3000,SP 3000,SPP 3000,Dec-24
P21082425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,85234,Stock and Sales,AEL,Parcel A,MV BERGE BINTUMANI,RBCT,Gangavaram,398-23-24,Cape,22000,SA,AS per Remarks,SA 5300 Min,Trader,SA 5300,,,Dec-23
P16122425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,78950,Stock and Sales,COASTAL ENERGEN,Parcel A,MV KASTELLI WAVE,Taboneo Anchorage,Tuticorin,581-23-24,Panamax,17500,Indonesia,BMB,INDO 4200 GAR,Trader,INDO 4200,BM 4200,BMB 4200,Feb-24
P20152425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75575,Stock and Sales,AEL,Parcel A,MV BBG LIJIANG,Muara Berau Anchorage,Hazira,268-24-25,Panamax,17056,Indonesia,Kutai Energi,INDO 4200 GAR,Miner / Refiner,INDO 4200,KE 4200,KE 4200,Aug-24
P24412425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,70297,APL,UDUPI POWER,Parcel A,MV ANASTASIA,BOCT or Maura Berau Anchorage (Samarinda),New Mangalore,475-24-25,Panamax,14500,Indonesia,PT Bharinto Ekatama,INDO 5500 GAR,Miner / Refiner,INDO 5500,BA 5500,BANPU 5500,Dec-24
P5482223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,79850,SEB,NTPC,Parcel C,MV XIN RUN,Muara Pantai,Dahej,163-22-23,Cape,25000,Indonesia,Berau,INDO 5000 GAR,Trader,INDO 5000,BE 5000,BERAU 5000,Jun-22
P0302122,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,52973,Stock and Sales,AEL,Parcel A,MV GEORGE ISLAND,Muara Berau Anchorage,Mundra,193-21-22,Cape,42500,Indonesia,BISM,INDO 3200 GAR,Miner / Refiner,INDO 3200,BI 3200,BISM 3200,Sep-21
P16872425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,35000,Stock and Sales,AEL,Parcel B,MV CRETANSEA,,Gangavaram,639-23-24,Panamax,21000,,,,,,,,Mar-24
P6382223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,25300,Stock and Sales,AEL,Parcel B,MV PANTAGRUEL,Tarakan Anch,Mundra,278-22-23,Cape,17000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,Oct-22
P14202425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,81067,APL,APL,Parcel A,MV STAR SAPHIRE,TBCT,Mundra,459-23-24,Panamax,21000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Dec-23
P19942425,Completed At DP,,,00:00.0,00:00.0,00:00.0,102608,Stock and Sales,AEL,Parcel A,MV MARINE WISDOM,Tentative (LC Planning),Krishnapatnam,198-23-24,Baby Cape,20000,Indonesia,Tentative (LC Planning),Tentative (LC Planning),Miner / Refiner,INDO ,,,Jul-23
P4342223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,57015,Stock and Sales,AEL,Parcel A,MV SUNNY HOPE,Meulaboh,Hazira,191-22-23,Supramax,31500,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Jul-22
P1932122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,Stock and Sales,AEL,Parcel A,MV KANG SHUN,Peunaga Anch,Krishnapatnam,271-21-22,Supramax,22000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Dec-21
P16052425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77823,SEB,NTPC,Parcel A,MV HORUS,Tj Kampeh,Dhamra,572-23-24,Panamax,16000,Indonesia,PT BA,INDO 4800 GAR,Trader,INDO 4800,BA 4800,BA 4800,Feb-24
P3942223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,121000,TC - Direct Customer,AGE COAL,Parcel A,MV ROBUSTO,Bunyu Anchorage,Thailand,087-22-23,Cape,,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Jun-22
P26262425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76235,APL,APL,Parcel A,MV DUCHESS ROSARIO,Taboneo Anchorage,Tuticorin,030-25-26,Panamax,17750,Indonesia,BMB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BM 4200,BMB 4200,Apr-25
P25222425,Completed At DP,00:00.0,00:00.0,,,00:00.0,73857,Stock and Sales,AEL,Parcel A,MV NEFELI,"CSX, Baltimore",Any Port India,543-24-25,Panamax,,USA,AS per Remarks,NAPP 6650 NAR Min,Trader,USA 6650,NA 6650,NAPP 6650,Feb-25
P1242122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,81500,Stock and Sales,AEL,Parcel B,MV BERGE TOUBKAL,Abbot Point,Krishnapatnam,312-21-22,Cape,22000,AUS,AUS Glencore,Aus 5600 NAR,Miner / Refiner,AUS 5600,GI 5600,GIAG 5600,Feb-22
P19092425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,27458,Stock and Sales,AEL,Parcel A,MV MOLYVOS LUCK,Muara Pantai,Hazira,267-24-25,Geared Panamax,19614,Indonesia,ATM,INDO 3800 GAR,Thru Broker,INDO 3800,AT 3800,ATM 3800,Aug-24
P6052223,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,82489,Stock and Sales,AEL,Parcel B,MV AGIA TRIAS,RBCT,Dhamra,270-22-23,Cape,21000,SA,SA Glencore,SA 4600 Min,Miner / Refiner,SA 4600,GI 4600,GIAG 4600,Oct-22
P23402425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,100000,APL,UDUPI POWER,Parcel A,MV CAPE HORN,Abbot Point,Mundra,444-22-23,Cape,,AUS,AS per Remarks,AUS 3000 - 5500 GAR,Trader,AUS 5500,,,Mar-23
P20472425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,41102,Stock and Sales,AEL,Parcel B,MV LYRIC HARMONY,RBCT,Dahej,306-24-25,Panamax,19000,SA,AS per Remarks,SA 5300 Min,Trader,SA 5300,,,Sep-24
P1672122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,50002,Stock and Sales,AEL,Parcel A,MV LILA LISBON,Adang Bay,Navlakhi,253-21-22,Cape,37000,Indonesia,kideco,INDO 4200 GAR,Miner / Refiner,INDO 4200,KI 4200,KIDECO 4200,Nov-21
P3622223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82400,SEB,NTPC,Parcel A,MV STAR PIERA,Tj Kampeh,Dahej,109-22-23,Post Panamax,38000,Indonesia,PT BA,INDO 4800 GAR,Trader,INDO 4800,BA 4800,BA 4800,May-22
P4532223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82000,APL,APL,Parcel B,MV AIPOS,TBCT,Mundra,206-22-23,Cape,17000,Indonesia,Melawan Mine,INDO 4500 GAR,Miner / Refiner,INDO 4500,KP 4500,KPC 4500,Jul-22
P19462425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV DEYI CONFIDENCE,Kaliorang Anch,Mundra,290-24-25,Cape,25500,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Sep-24
P26932526,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,161511,APL,APL,Parcel A,MV CAPE  JACARANDA,Bunyu Anchorage,Mundra,080-25-26,Cape,18705,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,May-25
P2012122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,112932,Stock and Sales,AEL,Parcel A,MV CSSC LE HAVRE,United Bulk Terminal (UBT),Krishnapatnam,262-21-22,Cape,50000,USA,USA NAPP,US NAPP 6500,Miner / Refiner,USA 6500,NA 6500,NAPP 6500,Dec-21
P24932425,Completed At DP,00:00.0,00:00.0,,,00:00.0,73800,Stock and Sales,AEL,Parcel A,MV AEOLIAN HERITAGE,Kaliorang Anch,Dahej,517-24-25,Panamax,10500,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Jan-25
P23312425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,56028,Stock and Sales,AEL,Parcel A,MV UNITY MARIA,Meulaboh,Any Port India,434-24-25,Supramax,17000,Indonesia,MIFA,INDO 3400 GAR,Thru Broker,INDO 3400,MI 3400,MIFA 3400,Dec-24
P11122324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,73815,Stock and Sales,AEL,Parcel A,MV AQUAHOLIC,Asam-asam anch./Kintap anch./NPLCT,Karaikal,290-23-24,Panamax,16250,Indonesia,Arutmin,INDO 4200 GAR,Miner / Refiner,INDO 4200,EC 4200,ECOCOAL 4200,Sep-23
P20582425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV FRONTIER BONANZA,TBCT,Mundra,314-23-24,Cape,20500,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Oct-23
P23132425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,90000,SEB,NTPC,Parcel B,MV MARIJEANNIE,Taboneo Anchorage,Gangavaram,438-22-23,Cape,,Indonesia,Adaro,INDO 4700 GAR,Miner / Refiner,INDO 4700,AD 4700,ADARO 4700,Mar-23
P3912223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75700,SEB,MAHA GENCO,Parcel A,MV STAR ANGELINA,Muara Banyuasin,Krishnapatnam,084-22-23,Panamax,32000,Indonesia,PT BBA,INDO 4200 GAR,Trader,INDO 4200,BB 4200,BBA 4200,May-22
P13352425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71520,APL,UDUPI POWER,Parcel A,MV SAKIZAYA ACE,Muara Berau / Muara Jawa,New Mangalore,010-24-25,Panamax,23000,Indonesia,JMB / ABE / KRA,Indo 5500 GAR,Trader,INDO 5500,JE 5500,JEMBAYAN 5500,Apr-24
P16322425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,37500,Stock and Sales,AEL,Parcel C,MV LAKE DESPINA,Muara Berau / Muara Jawa,Navlakhi,602-23-24,Cape,28900,Indonesia,LHI,INDO 3800 GAR.,Miner / Refiner,INDO 3800,LH 3800,LHI 3800,Mar-24
P0512122,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,52000,Stock and Sales,AEL,Parcel B,MV EUROPE,Taboneo Anchorage,Mundra,225-21-22,Cape,71500,Indonesia,Adaro,INDO 4100 GAR,Miner / Refiner,INDO 4100,AD 4100,ADARO 4100,Oct-21
P3022223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,84500,Stock and Sales,AEL,Parcel A,MV BERGE CRISTOBAL,Taboneo Anchorage,Karaikal,040 - 22-23,Cape,19500,Indonesia,BRE,INDO 4100 GAR,Trader,INDO 4100,BR 4100,BRE 4100,May-22
P25002425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75444,APL,APL,Parcel A,MV PAN CLOVER,Taboneo Anchorage,Tuticorin,520-24-25,Panamax,12750,Indonesia,BMB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BM 4200,BMB 4200,Feb-25
P12542324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,40000,SEB,NTPC,Parcel A,MV SAMJOHN SOLIDARITY,Muara Pantai,SANDHEADS,444-23-24,Cape,27000,Indonesia,Berau,INDO 4800 GAR,Trader,INDO 4800,BE 4800,BERAU 4800,Dec-23
P22752425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,42000,Stock and Sales,AEL,Parcel B,MV PABLO,Muara Berau / Muara Jawa,Mundra,416-24-25,Panamax,15250,Indonesia,Singlurus,INDO 4600 GAR,Miner / Refiner,INDO 4600,SI 4600,SINGLURUS 4600,Nov-24
P19512425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,35540,Stock and Sales,AEL,Parcel B,MV LEO HONOR,Muara Sangkulirang,Mundra,287-24-25,Cape,23159,Indonesia,GAM,INDO 3400 GAR,Miner / Refiner,INDO 3400,GA 3400,GAM 3400,Sep-24
P25352425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,42500,Stock and Sales,AEL,Parcel C,MV LAMBERT MARU,Muara Berau Anchorage,Hazira,503-24-25,Cape,,Indonesia,Kutai Energi,INDO 4200 GAR,Miner / Refiner,INDO 4200,KE 4200,KE 4200,Jan-25
P7772324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,SEB,NTPC,Parcel A,MV GLOBAL ROYAL,Bengkulu Anch.,Goa,399-22-23,Supramax,13000,Indonesia,CDE,INDO 4800 GAR,Trader,INDO 4800,CD 4800,CDE 4800,Feb-23
P24472425,Completed At DP,00:00.0,00:00.0,,,00:00.0,23840,Stock and Sales,AEL,Parcel B,MV ALJAZI,Muara Berau / Muara Jawa,Any Port India,466-24-25,Panamax,14000,Indonesia,Singlurus,INDO 4200 GAR,Miner / Refiner,INDO 4200,SI 4200,SINGLURUS 4200,Dec-24
